location_id,usaf,wban,isd_ids,lon,dist_km,elev_m,utc_offset_hours,begin_verified
25,723270,13897,72327013897|72327099999|99999913897,-86.688,11.03,179.0,-6.0,True
26,723530,13967,72353013967|72353099999|99999913967,-97.6,11.77,389.9,-6.0,True
27,716240,99999,71624099999,-79.631,9.38,173.4,-5.0,True
28,724050,13743,72405013743|72405099999|99999913743,-77.035,6.56,4.1,-5.0,True
29,722700,23044,72270023044|72270099999|99999923044,-106.377,6.48,1202.1,-7.0,True
30,723860,23169,72386023169|72386099999|99999923169,-115.163,20.12,662.8,-8.0,True
31,725090,14739,72509014739|72509099999|99999914739,-71.01,2.59,3.3,-5.0,True
32,712010,99999,71201099999,-123.117,3.22,3.0,-8.0,True
33,714370,99999,71437099999,-79.8,46.27,77.0,-5.0,False
34,725375,14822,72537514822|72537599999|99999914822,-83.009,8.11,189.8,-5.0,True
35,724235,13810,72423513810|72423599999|99999913810,-85.663,7.31,164.6,-5.0,True
36,726980,24229,72698024229|72698099999|99999924229,-122.609,7.3,6.7,-8.0,True
37,723340,13893,72334013893|72334099999|99999913893,-89.986,6.12,76.6,-6.0,True
38,745944,93784,74594493784|74594499999|99999993784,-76.611,2.12,6.1,-5.0,True
39,712630,99999,71263099999,-79.935,9.09,237.7,-5.0,True
40,717850,99999,71785099999,-122.767,10.36,13.0,-8.0,True
41,726405,94869,72640594869|72640599999|99999994869,-88.031,7.28,223.7,-6.0,True
42,723650,23050,72365023050|72365099999|99999923050,-106.615,7.56,1618.4,-7.0,True
43,723890,93193,72389093193|72389099999|99999993193,-119.72,6.54,101.9,-8.0,True
44,713920,99999,71392099999,-71.283,7.71,91.0,-5.0,True
45,722745,23109,72274523109|72274599999|99999923109,-110.883,1.93,824.2,-7.0,True
46,724830,23232,72483023232|72483099999|99999923232,-121.496,7.17,5.9,-8.0,True
47,722190,13874,72219013874|72219099999|99999913874,-84.442,14.89,308.3,-5.0,True
48,724463,13988,72446313988|72446399999|99999913988,-94.589,3.35,226.2,-6.0,True
49,722786,23104,72278623104|72278699999|99999923104,-111.667,11.95,421.2,-7.0,True
50,723060,13722,72306013722|72306099999|99999913722,-78.782,14.35,120.5,-5.0,True
51,724660,93037,72466093037|72466099999|99999993037,-104.689,8.98,1884.2,-7.0,True
52,722020,12839,72202012839|72202099999|99999912839,-80.317,10.95,1.4,-5.0,True
53,725500,14942,72550014942|72550099999|99999914942,-95.902,13.79,298.8,-6.0,True
54,723075,13769,72307513769|72307599999|99999913769,-76.033,4.18,7.0,-5.0,True
55,722970,23129,72297023129|72297099999|99999923129,-118.147,3.98,10.2,-8.0,True
56,724930,23230,72493023230|72493099999|99999923230,-122.233,5.8,1.5,-8.0,True
57,713950,99999,71395099999,-63.509,26.72,145.4,-4.0,True
58,716270,94792,71627094792|71627099999|99999994792,-73.733,15.36,36.0,-5.0,True
59,726580,14922,72658014922|72658099999|99999914922,-93.231,9.19,254.5,-6.0,True
60,716230,99999,71623099999,-81.154,11.41,278.0,-5.0,True
61,723840,23155,72384023155|72384099999|99999923155,-119.055,9.12,149.3,-8.0,True
62,723560,13968,72356013968|72356099999|99999913968,-95.878,8.2,194.9,-6.0,True
63,722110,12842,72211012842|72211099999|99999912842,-82.54,5.98,1.8,-5.0,True
64,725650,03017,72565003017|72565099999|99999903017,-104.656,16.25,1647.2,-7.0,True
65,722590,03927,72259003927|72259099999|99999903927,-97.022,23.84,165.7,-6.0,True
66,724500,03928,72450003928|72450099999|99999903928,-97.43,8.8,401.7,-6.0,True
67,725240,14820,72524014820|72524099999|99999914820,-81.852,16.49,236.8,-5.0,True
68,722315,53917,72231553917|72231599999|99999953917,-90.029,9.11,0.9,-6.0,True
69,722096,53127,72209653127|72209699999|99999953127,-115.133,10.23,749.2,-8.0,False
70,722977,93184,72297793184|72297799999|99999993184,-117.867,21.93,13.0,-8.0,True
71,715080,99999,71508099999,-79.4,25.16,113.0,-5.0,False
72,722050,12815,72205012815|72205099999|99999912815,-81.324,6.11,27.1,-5.0,True
73,724220,93820,72422093820|72422099999|99999993820,-84.611,13.4,293.2,-5.0,True
74,724920,23237,72492023237|72492099999|99999923237,-121.226,12.05,8.3,-8.0,True
75,725020,14734,72502014734|72502099999|99999914734,-74.169,4.59,2.0,-5.0,True
76,712960,99999,71296099999,-79.783,47.39,251.0,-5.0,False
77,722860,23119,72286023119|72286099999|99999923119,-117.25,13.87,468.2,-8.0,True
78,722926,03154,72292603154|72292699999|99999903154,-117.355,56.77,21.4,-8.0,True
79,722515,12926,72251512926|72251599999|99999912926,-97.292,13.81,4.7,-6.0,True
80,722975,53141,72297553141|72297599999|99999953141,-118.052,16.73,10.7,-8.0,True
81,724297,93812,72429793812|72429799999|99999993812,-84.416,8.63,144.9,-5.0,True
82,723170,13723,72317013723|72317099999|99999913723,-79.943,10.73,275.0,-5.0,True
83,725205,14762,72520514762|72520599999|99999914762,-79.921,10.52,379.2,-5.0,True
84,726584,14927,72658414927|72658499999|99999914927,-93.056,4.22,213.3,-6.0,True
85,722193,03722,72219303722|72219399999|99999903722,-78.984,35.01,185.6,-5.0,False
86,725025,94741,72502594741|72502599999|99999994741,-74.056,16.43,0.8,-5.0,True
87,725510,14939,72551014939|72551099999|99999914939,-96.765,8.67,356.7,-6.0,True
88,746140,23112,74614023112|74614099999|99999923112,-115.033,6.71,570.0,-8.0,True
89,722598,03970,72259803970|72259899999|99999903970,-96.836,12.25,196.3,-6.0,True
90,716279,99999,71627999999,-75.564,5.28,64.3,-5.0,True
91,749173,99999,74917399999,-111.427,50.98,479.8,-7.0,False
92,726410,14837,72641014837|72641099999|99999914837,-89.345,9.08,261.7,-6.0,True
93,724880,23185,72488023185|72488099999|99999923185,-119.768,8.38,1342.5,-8.0,True
94,722785,23111,72278523111|72278599999|99999923111,-112.367,56.3,330.7,-7.0,True
95,724340,13994,72434013994|72434099999|99999913994,-90.373,17.07,162.0,-6.0,True
96,760013,99999,76001399999,-116.97,10.53,149.0,-8.0,True
97,725330,14827,72533014827|72533099999|99999914827,-85.206,13.97,243.0,-5.0,True
98,725280,14733,72528014733|72528099999|99999914733,-78.736,11.37,216.2,-5.0,True
99,722670,23042,72267023042|72267099999|99999923042,-101.823,13.08,993.2,-6.0,True
100,762863,99999,76286399999,-99.57,15.2,147.5,-6.0,True
101,722189,92815,72218992815|72218999999|99999992815,-80.221,19.84,5.5,-5.0,False
102,718660,99999,71866099999,-106.7,4.55,503.8,-6.0,True
103,722104,92806,72210492806|72210499999|99999992806,-82.626,1.88,1.3,-5.0,True
104,725360,94830,72536094830|72536099999|99999994830,-83.805,20.43,205.5,-5.0,True
105,722787,53126,72278753126|72278799999|99999953126,-112.295,9.77,324.9,-7.0,True
106,723193,93807,72319393807|72319399999|99999993807,-80.224,4.71,291.6,-5.0,True
107,722094,53984,72209453984|72209499999|99999953984,-97.047,19.06,179.5,-6.0,False
108,713680,99999,71368099999,-80.379,8.6,321.3,-5.0,True
109,723080,13737,72308013737|72308099999|99999913737,-76.193,26.79,3.3,-5.0,True
110,713710,99999,71371099999,-73.417,1.64,27.4,-5.0,True
111,721044,00448,72104400448|72104499999|99999900448,-96.435,18.38,175.3,-6.0,False
112,718920,99999,71892099999,-123.184,16.92,4.3,-8.0,True
113,722789,03192,72278903192|72278999999|99999903192,-111.923,9.85,436.1,-7.0,True
114,726810,24131,72681024131|72681099999|99999924131,-116.241,3.53,860.5,-7.0,True
115,724010,13740,72401013740|72401099999|99999913740,-77.323,13.67,50.7,-5.0,True
