location_id,icao,lcd_id,dist_km,elev_m,archive_begin,tier
447,BPT,USW00012917,11.2,4.5784636,1944-03-04,1
448,RNO,USW00023185,35.6,1345.0,1943-01-05,1
449,AUS,USW00013904,41.8,146.0,1998-04-28,1
450,BNA,USW00013897,21.6,180.0,1934-01-01,1
451,LPR,USW00004849,6.4,241.0,1998-04-28,1
452,ATT,USW00013958,18.8,203.0,1938-04-01,1
453,EYE,USW00053842,28.5,248.0,1996-06-30,1
454,SRQ,USW00012871,7.8,9.0,1972-12-31,1
455,MKC,USW00013988,29.3,227.0,1929-01-01,1
456,DEN,USW00003017,54.0,1656.0,1974-11-12,1
457,PSP,USW00093138,6.5,141.0,1943-05-10,1
458,TRI,USW00013877,16.0,463.0,1934-07-01,1
459,EED,USW00023179,41.8,302.0,1934-03-11,1
460,PNS,USW00013899,7.0,37.0,1937-04-01,1
461,RAL,USW00003171,38.2,249.0,1977-01-16,1
462,WVI,USW00023277,4.4,49.7,1945-03-01,1
463,BFL,USW00023155,41.1,150.0,1928-01-01,1
464,EWR,USW00014734,21.1,2.0,1930-12-31,1
465,BTL,USW00014815,6.1,290.0,1942-10-01,1
466,SRQ,USW00012871,11.0,9.0,1972-12-31,1
467,WVI,USW00023277,21.1,49.7,1945-03-01,1
468,SLE,USW00024232,31.4,61.0,1928-06-25,1
469,DSM,USW00014933,22.5,294.0,1928-01-01,1
470,LSE,USW00014920,8.8,198.0,1933-05-22,1
471,GSO,USW00013723,45.4,270.0,1945-10-31,1
472,RBD,USW00003971,10.1,201.0,1984-07-13,1
473,CHO,USW00093736,50.2,195.0,1961-04-20,1
