location_id,lat,lng,cell_lat,cell_lon,snapped
354,46.24,-119.101,46.1875,-119.0625,False
355,38.788,-90.497,38.8125,-90.4375,False
356,44.811,-91.498,44.8125,-91.4375,False
357,46.808,-100.784,46.8125,-100.8125,False
358,29.994,-90.242,29.9375,-90.1875,False
359,39.414,-77.411,39.4375,-77.4375,False
360,44.025,-88.543,44.0625,-88.5625,False
361,43.661,-70.255,43.6875,-70.3125,False
362,45.558,-94.163,45.5625,-94.1875,False
363,38.545,-121.741,38.5625,-121.6875,False
364,34.216,-119.038,34.1875,-119.0625,False
365,42.814,-73.94,42.8125,-73.9375,False
366,39.143,-77.201,39.1875,-77.1875,False
367,26.191,-97.696,26.1875,-97.6875,False
368,39.14,-121.617,39.1875,-121.5625,False
369,41.1,-80.65,41.0625,-80.6875,False
370,28.292,-81.408,28.3125,-81.4375,False
371,36.313,-82.353,36.3125,-82.3125,False
372,28.805,-97.004,28.8125,-97.0625,False
373,33.427,-117.612,33.4375,-117.5625,False
374,25.469,-80.478,25.4375,-80.4375,False
375,39.084,-77.153,39.0625,-77.1875,False
376,42.683,-89.019,42.6875,-89.0625,False
377,35.089,-92.442,35.0625,-92.4375,False
378,41.453,-82.182,41.4375,-82.1875,False
379,38.134,-121.272,38.1875,-121.3125,False
380,29.703,-98.124,29.6875,-98.0625,False
381,36.961,-120.061,36.9375,-120.0625,False
382,30.312,-95.456,30.3125,-95.4375,False
383,36.974,-122.031,36.9375,-122.0625,False
384,44.855,-93.471,44.8125,-93.4375,False
385,41.14,-104.82,41.1875,-104.8125,False
386,29.211,-81.023,29.1875,-81.0625,False
387,39.4,-84.561,39.4375,-84.5625,False
388,42.376,-71.236,42.4375,-71.1875,False
389,45.173,-93.303,45.1875,-93.3125,False
390,42.776,-71.077,42.8125,-71.0625,False
391,41.262,-95.861,41.3125,-95.8125,False
392,43.101,-75.233,43.0625,-75.1875,False
393,42.035,-93.62,42.0625,-93.5625,False
394,33.037,-117.292,33.0625,-117.3125,False
395,36.969,-86.481,36.9375,-86.4375,False
396,34.853,-82.394,34.8125,-82.4375,False
397,41.577,-93.711,41.5625,-93.6875,False
398,39.486,-75.026,39.4375,-75.0625,False
399,39.467,-87.414,39.4375,-87.4375,False
400,32.563,-97.142,32.5625,-97.1875,False
401,41.672,-72.949,41.6875,-72.9375,False
402,41.538,-72.807,41.5625,-72.8125,False
403,26.662,-80.268,26.6875,-80.3125,False
404,36.332,-94.119,36.3125,-94.0625,False
405,39.064,-108.551,39.0625,-108.5625,False
406,42.867,-106.313,42.8125,-106.3125,False
407,39.921,-105.087,39.9375,-105.0625,False
408,38.232,-122.637,38.1875,-122.6875,False
409,39.924,-83.809,39.9375,-83.8125,False
410,47.494,-111.283,47.4375,-111.3125,False
411,40.038,-76.306,40.0625,-76.3125,False
412,27.044,-82.236,27.0625,-82.1875,False
413,33.953,-84.55,33.9375,-84.5625,False
414,37.974,-122.531,37.9375,-122.5625,False
415,32.61,-85.481,32.5625,-85.4375,False
416,37.772,-87.111,37.8125,-87.0625,False
417,26.934,-80.094,26.9375,-80.0625,False
418,43.492,-112.034,43.4375,-112.0625,False
419,42.501,-90.665,42.5625,-90.6875,False
420,35.205,-89.874,35.1875,-89.8125,False
421,32.903,-96.564,32.9375,-96.5625,False
422,42.481,-83.475,42.4375,-83.4375,False
423,34.14,-118.035,34.1875,-118.0625,False
424,47.674,-122.122,47.6875,-122.0625,False
425,29.187,-82.14,29.1875,-82.1875,False
426,41.573,-87.793,41.5625,-87.8125,False
427,35.938,-77.791,35.9375,-77.8125,False
428,40.486,-86.134,40.4375,-86.1875,False
429,39.007,-76.779,39.0625,-76.8125,False
430,33.37,-112.584,33.3125,-112.5625,False
431,38.679,-121.773,38.6875,-121.8125,False
432,30.833,-83.278,30.8125,-83.3125,False
433,39.184,-96.572,39.1875,-96.5625,False
434,28.803,-81.269,28.8125,-81.3125,False
435,40.486,-74.452,40.4375,-74.4375,False
436,34.606,-86.983,34.5625,-86.9375,False
437,42.149,-72.608,42.1875,-72.5625,False
438,40.105,-85.68,40.0625,-85.6875,False
439,40.706,-73.619,40.6875,-73.5625,False
440,44.565,-123.262,44.5625,-123.3125,False
441,36.065,-119.017,36.0625,-119.0625,False
442,47.925,-97.033,47.9375,-97.0625,False
443,30.633,-97.678,30.6875,-97.6875,False
444,36.327,-119.646,36.3125,-119.6875,False
445,42.871,-112.446,42.8125,-112.4375,False
446,34.128,-117.209,34.1875,-117.1875,False
447,29.885,-93.94,29.9375,-93.9375,False
448,39.164,-119.767,39.1875,-119.8125,False
449,29.883,-97.941,29.9375,-97.9375,False
450,36.305,-86.62,36.3125,-86.5625,False
451,41.368,-82.108,41.3125,-82.0625,False
452,30.439,-97.62,30.4375,-97.5625,False
453,39.614,-86.107,39.5625,-86.0625,False
454,27.336,-82.531,27.3125,-82.5625,False
455,39.017,-94.282,39.0625,-94.3125,False
456,39.372,-104.856,39.3125,-104.8125,False
457,33.781,-116.467,33.8125,-116.4375,False
458,36.548,-82.562,36.5625,-82.5625,False
459,34.484,-114.322,34.4375,-114.3125,False
460,30.421,-87.217,30.4375,-87.1875,False
461,34.034,-117.043,34.0625,-117.0625,False
462,36.91,-121.757,36.9375,-121.8125,False
463,35.769,-119.247,35.8125,-119.1875,False
464,40.507,-74.265,40.5625,-74.3125,False
465,42.321,-85.18,42.3125,-85.1875,False
466,27.499,-82.575,27.4375,-82.5625,False
467,37.006,-121.568,37.0625,-121.5625,False
468,44.637,-123.106,44.6875,-123.0625,False
469,41.732,-93.6,41.6875,-93.5625,False
470,43.801,-91.24,43.8125,-91.1875,False
471,36.096,-79.438,36.0625,-79.4375,False
472,32.59,-96.857,32.5625,-96.8125,False
473,38.45,-78.869,38.4375,-78.8125,False
474,41.682,-85.977,41.6875,-85.9375,False
475,34.136,-117.865,34.1875,-117.8125,False
476,34.989,-90.013,34.9375,-90.0625,False
477,38.35,-81.633,38.3125,-81.6875,False
478,37.084,-94.513,37.0625,-94.5625,False
479,36.396,-97.878,36.4375,-97.9375,False
480,33.865,-84.337,33.8125,-84.3125,False
481,40.634,-74.407,40.6875,-74.4375,False
482,40.926,-98.342,40.9375,-98.3125,False
483,35.411,-80.843,35.4375,-80.8125,False
484,43.419,-83.951,43.4375,-83.9375,False
485,42.869,-85.645,42.8125,-85.6875,False
486,47.616,-122.036,47.5625,-122.0625,False
487,32.88,-111.757,32.9375,-111.8125,False
488,32.509,-92.119,32.5625,-92.0625,False
489,35.721,-77.916,35.6875,-77.9375,False
490,41.134,-81.485,41.1875,-81.4375,False
491,33.641,-117.603,33.6875,-117.5625,False
492,40.273,-76.887,40.3125,-76.9375,False
493,38.419,-82.445,38.4375,-82.4375,False
494,43.663,-116.687,43.6875,-116.6875,False
495,41.737,-111.834,41.6875,-111.8125,False
496,29.301,-94.798,29.3125,-94.8125,False
497,43.751,-87.715,43.8125,-87.6875,False
498,33.394,-104.523,33.4375,-104.5625,False
499,39.519,-104.761,39.5625,-104.8125,False
